game_id,round,player,score,score_time
7,1,Gloria,20,2024-12-29T04:16:47Z
7,1,Paul,25,2024-12-29T04:16:47Z
7,1,Lauren,15,2024-12-29T04:16:47Z
7,1,Craig,65,2024-12-29T04:16:47Z
7,2,Gloria,75,2024-12-29T04:17:44Z
7,2,Paul,-45,2024-12-29T04:17:44Z
7,2,Lauren,60,2024-12-29T04:17:44Z
7,2,Craig,-15,2024-12-29T04:17:44Z
7,3,Gloria,35,2024-12-29T04:17:59Z
7,3,Paul,40,2024-12-29T04:17:59Z
7,3,Lauren,45,2024-12-29T04:17:59Z
7,3,Craig,105,2024-12-29T04:17:59Z
7,4,Gloria,0,2024-12-29T04:18:10Z
7,4,Paul,30,2024-12-29T04:18:10Z
7,4,Lauren,50,2024-12-29T04:18:10Z
7,4,Craig,35,2024-12-29T04:18:10Z
7,5,Gloria,50,2024-12-29T04:28:33Z
7,5,Paul,10,2024-12-29T04:28:33Z
7,5,Lauren,60,2024-12-29T04:28:33Z
7,5,Craig,50,2024-12-29T04:28:33Z
7,6,Gloria,70,2024-12-29T04:18:40Z
7,6,Paul,40,2024-12-29T04:18:40Z
7,6,Lauren,25,2024-12-29T04:18:40Z
7,6,Craig,60,2024-12-29T04:18:40Z
7,7,Gloria,30,2024-12-29T04:18:57Z
7,7,Paul,35,2024-12-29T04:18:57Z
7,7,Lauren,45,2024-12-29T04:18:57Z
7,7,Craig,10,2024-12-29T04:18:57Z
7,8,Gloria,55,2024-12-29T04:22:58Z
7,8,Paul,85,2024-12-29T04:20:14Z
7,8,Lauren,-5,2024-12-29T04:20:14Z
7,8,Craig,-60,2024-12-29T04:20:14Z
7,9,Gloria,65,2024-12-29T04:20:27Z
7,9,Paul,40,2024-12-29T04:20:27Z
7,9,Lauren,35,2024-12-29T04:20:27Z
7,9,Craig,55,2024-12-29T04:20:27Z
7,10,Gloria,55,2024-12-29T04:20:40Z
7,10,Paul,40,2024-12-29T04:20:40Z
7,10,Lauren,65,2024-12-29T04:20:40Z
7,10,Craig,60,2024-12-29T04:20:40Z
7,11,Gloria,-10,2024-12-29T04:20:58Z
7,11,Paul,40,2024-12-29T04:28:11Z
7,11,Lauren,-50,2024-12-29T04:28:11Z
7,11,Craig,-10,2024-12-29T04:28:11Z
7,12,Gloria,40,2024-12-29T04:29:14Z
7,12,Paul,25,2024-12-29T04:29:14Z
7,12,Lauren,115,2024-12-29T04:29:14Z
7,12,Craig,60,2024-12-29T04:29:14Z
7,13,Gloria,40,2024-12-29T04:36:35Z
7,13,Paul,15,2024-12-29T04:36:35Z
7,13,Lauren,-45,2024-12-29T04:36:35Z
7,13,Craig,85,2024-12-29T04:36:35Z
7,14,Gloria,0,2024-12-29T04:16:20Z
7,14,Paul,0,2024-12-29T04:16:20Z
7,14,Lauren,0,2024-12-29T04:16:20Z
7,14,Craig,0,2024-12-29T04:16:20Z
7,15,Gloria,0,2024-12-29T04:16:20Z
7,15,Paul,0,2024-12-29T04:16:20Z
7,15,Lauren,0,2024-12-29T04:16:20Z
7,15,Craig,0,2024-12-29T04:16:20Z
7,16,Gloria,0,2024-12-29T04:16:20Z
7,16,Paul,0,2024-12-29T04:16:20Z
7,16,Lauren,0,2024-12-29T04:16:20Z
7,16,Craig,0,2024-12-29T04:16:20Z
7,17,Gloria,0,2024-12-29T04:16:20Z
7,17,Paul,0,2024-12-29T04:16:20Z
7,17,Lauren,0,2024-12-29T04:16:20Z
7,17,Craig,0,2024-12-29T04:16:20Z
